folder_name;precision_0;recall_0;test_acc;randomsplit
fold0;0.793144941329956;0.7304028868675232;0.7387283444404602;0
fold1;0.8447363376617432;0.8336081504821777;0.8393017053604126;0
fold2;0.760148286819458;0.7655941843986511;0.7702814340591431;0
fold3;0.82087242603302;0.7779269218444824;0.8051146268844604;0
fold4;0.7803242206573486;0.7471944093704224;0.7542411684989929;0
fold0;0.772601842880249;0.723138689994812;0.7294797897338867;1
fold1;0.8606495261192322;0.8410982489585876;0.8509399890899658;1
fold2;0.7739827036857605;0.7518513798713684;0.7793874144554138;1
fold3;0.7925026416778564;0.7865548133850098;0.7993826866149902;1
fold4;0.7883381843566895;0.7618039846420288;0.7666208148002625;1
fold0;0.8071357011795044;0.7762478590011597;0.7803468108177185;2
fold1;0.8441995978355408;0.8355151414871216;0.8388540744781494;2
fold2;0.7535408139228821;0.7317583560943604;0.7628311514854431;2
fold3;0.8139488697052002;0.8123977184295654;0.8209876418113708;2
fold4;0.7683875560760498;0.7561195492744446;0.756533682346344;2
